"Academic_Rating","Non_Academic_Rating","OneTest","Year","Last_Decision_Cluster","Recommendation1","Recommendation2","ReaderDisagreement","RecommendationAvg","AggregatedStatus","GPA","HSRank","StaffAssigned","AppType","Highest_Math","Highest_Verbal","Highest_Writing","SAT2_Highest","SAT2_Exams","History_Count","History_Ave","Science_Count","Science_Ave","Language_Count","Language_Ave","Talent_Rating","Initiative_Rating","Leadership_Rating","Excitement_Rating","Race","Gender_Ind","Catholic_Ind","Legacy_Ind","Sibling_Ind","Athlete_Ind","Questbridge_Ind","FirstGen_Ind","ReligionDescription","HSType","HSNameUnique","Review_Committee","Admit","Confirm_Admit","Admit_Cancel","College","Degree","BS_BA","Major","Major_Description","Citizen_Ind","HSSize","Address_Combined","ndID","Pctile_OneTest_AR_NAR","Pctile_OneTest","Pctile_AR","Pctile_NAR","Apps_Single_Year","Apps_All_Yrs","Application_Date","Application_Datetime","Decisions_Aggregated","Num_Decisions","Num_Readers","Shapefile"
"3","8","1570",2014,"Confirm Admit","SC","NA","No","5","Confirm Admit","99.6","0","Shannon C. Kelly","FE","800","770","710","720","2","2","710","0","0","0","0","0","0","0","0","White","Female","Catholic","Non-Legacy","No Sibling","Non-Athlete","Non-Questbridge Apps","No","Catholic - Roman","C3","Archbishop Molloy High School - 332543","0","1","1","0","Science","BS","BS","SCPP","PreProfessional","Y","391","New York","901890627","0.921112","0.988455","0.959518","0.815364","4","30","10/26/2013","41573","Admit - Confirm Admit","2","1","Cube"
"8","12","1420",2014,"Reject","RJ","NA","No","1","Reject","92.93","0","Shannon C. Kelly","FE","770","650","680","0","0","0","0","0","0","0","0","0","0","0","0","White","Male","Catholic","Non-Legacy","No Sibling","Non-Athlete","Non-Questbridge Apps","No","Catholic - Roman","C3","Archbishop Molloy High School - 332543","0","0","0","0","Engineering","BSAE","BS","AERO","Aerospace Engineering","Y","391","New York","901903510","0.493977","0.724934","0.704749","0.052249","4","30","11/1/2013","41579","Non-Select (Reject)","1","1","Cube"
"14","8","1230",2014,"Reject","RJ","NA","No","1","Reject","94.85","0","Shannon C. Kelly","FR","650","580","690","660","2","0","0","2","640","0","0","0","0","0","0","Hispanic/Latino","Female","Catholic","Non-Legacy","No Sibling","Non-Athlete","Non-Questbridge Apps","No","Catholic - Roman","C3","Archbishop Molloy High School - 332543","0","0","0","0","Science","BS","BS","CHEM","Chemistry","Y","389","New York","901915229","0.436525","0.240591","0.25362","0.815364","4","30","12/31/2013","41639","Non-Select (Reject)","1","1","Cube"
"13","10","1340",2014,"Reject","RJ","NA","No","1","Reject","91.87","0","Shannon C. Kelly","FR","710","690","590","0","0","0","0","0","0","0","0","0","0","0","0","White","Male","Catholic","Non-Legacy","No Sibling","Non-Athlete","Non-Questbridge Apps","Yes","Catholic - Roman","C3","Archbishop Molloy High School - 332543","0","0","0","0","Business","BBA","BB","MGTE","Management Entrepreneurship","Y","391","New York","901920314","0.412882","0.493204","0.321771","0.423673","4","30","2/1/2014","41671","Non-Select (Reject)","1","1","Cube"
"3","6.5","1520",2015,"Admit and Cancel","SC","SC","No","5","Admit and Cancel","98.009","0","Shannon C. Kelly","FR","800","720","710","800","5","1","700","3","790","1","800","3.5","4","3.5","3","Asian","Female","Non-Catholic","Non-Legacy","No Sibling","Non-Athlete","Non-Questbridge Apps","No","Not Specified","C3","Archbishop Molloy High School - 332543","0","1","0","1","Business","BBA","BB","FIN","Finance","P","373","New York","901945646","0.944112","0.940212","0.959518","0.932607","8","30","12/13/2014","41986","Admit - Cancel from Admits","2","2","Cube"
"3.5","7.5","1510",2015,"Confirm Admit","AD","SC","Yes","4.5","Confirm Admit","100.34","0","Shannon C. Kelly","FR","780","722.5","0","800","3","0","0","3","770","0","0","4.5","4","4","2.5","Asian","Male","Catholic","Non-Legacy","No Sibling","Non-Athlete","Non-Questbridge Apps","No","Catholic - Roman","C3","Archbishop Molloy High School - 332543","0","1","1","0","Science","BS","BS","MATH","Mathematics","Y","375","New York","901951286","0.899286","0.932404","0.930752","0.834703","8","30","12/27/2014","42000","Admit - Confirm Admit","2","2","Cube"
"9","6","1380",2015,"Reject","RJ","NA","No","1","Reject","96.537","0","Shannon C. Kelly","FR","710","735","0","0","0","0","0","0","0","0","0","4","4","4","4","White","Female","Catholic","Non-Legacy","No Sibling","Non-Athlete","Non-Questbridge Apps","No","Catholic - Roman","C3","Archbishop Molloy High School - 332543","0","0","0","0","Business","BBA","BB","MARK","Marketing","Y","375","New York","901944638","0.732966","0.605165","0.622348","0.971387","8","30","12/6/2014","41979","Non-Select (Reject)","1","1","Cube"
"12","8","1280",2015,"Reject","RJ","NA","No","1","Reject","96.275","0","Shannon C. Kelly","FR","690","602.5","630","660","2","1","660","1","640","0","0","4","4","4","4","Asian","Female","Catholic","Non-Legacy","No Sibling","Non-Athlete","Non-Questbridge Apps","No","Catholic - Roman","C3","Archbishop Molloy High School - 332543","0","0","0","0","Arts & Letters","BA","BA","POLS","Political Science","Y","400","New York","901946332","0.510881","0.323879","0.393401","0.815364","8","30","12/16/2014","41989","Non-Select (Reject)","1","1","Cube"
"11","11","1340",2015,"Reject","RJ","NA","No","1","Reject","93.377","0","Shannon C. Kelly","FR","595","730","0","0","0","0","0","0","0","0","0","4","4","4","4","White","Male","Catholic","Non-Legacy","No Sibling","Non-Athlete","Non-Questbridge Apps","No","Catholic - Roman","C3","Archbishop Molloy High School - 332543","0","0","0","0","Science","BS","BS","BIOS","Biological Sciences","Y","373","New York","901953899","0.381731","0.493204","0.475735","0.176255","8","30","1/1/2015","42005","Non-Select (Reject)","1","1","Cube"
"7","8","1460",2015,"Reject","RR","NA","No","2","Reject","100.43","0","Shannon C. Kelly","FR","670","742.5","0","0","0","0","0","0","0","0","0","4","3","3","4","White","Male","Catholic","Non-Legacy","No Sibling","Non-Athlete","Non-Questbridge Apps","No","Catholic - Roman","C3","Archbishop Molloy High School - 332543","1","0","0","0","Engineering","BSAE","BS","AERO","Aerospace Engineering","Y","373","New York","901947242","0.809633","0.83666","0.776873","0.815364","8","30","12/20/2014","41993","Review Committee - Non-Select (Reject)","2","1","Cube"
